route,x,y,lat,long,season,type,hab
F-M,588623.4197412505,5563151.6927272035,-40.077287,148.039436,spring,FR,FF
F-M,588433.5434651695,5563014.439422896,-40.078533,148.037222,spring,FR,OO
F-M,588187.415705737,5562649.90933678,-40.081823,148.034387,spring,FR,OO
F-M,590040.8051495225,5570999.811792106,-40.006405,148.054935,summer,FR,OO
F-M,589845.3938217844,5570858.960004357,-40.007714,148.052685,summer,FR,OO
F-M,589858.6771077103,5567528.570238304,-40.037653,148.053303,summer,FR,OO
F-M,589563.8191874268,5563875.465810264,-40.070644,148.050348,summer,FR,FO
F-M,589611.5424092157,5563941.00938611,-40.070055,148.050943,summer,FR,FO
F-M,589337.4766665051,5563687.629005995,-40.072326,148.047679,summer,FR,FF
F-M,589598.6509869004,5563918.3001720365,-40.070252,148.050764,summer,FR,FO
F-M,589743.2375179699,5567604.4129423145,-40.036972,148.051948,summer,FR,OO
F-M,591462.3463548049,5572140.234071516,-39.995983,148.071433,summer,FR,OO
